1852,136,2355,140,2355,189,1852,185
809,182,947,182,947,217,809,217
825,262,931,262,931,294,825,294
1094,268,1145,268,1145,297,1094,297
1315,268,1369,268,1369,300,1315,300
1440,272,1497,272,1497,300,1440,300
1584,272,1635,272,1635,300,1584,300
1715,272,1769,272,1769,304,1715,304
1968,275,2022,275,2022,304,1968,304
2224,275,2278,275,2278,304,2224,304
2396,275,2569,275,2569,307,2396,307
2697,278,2752,278,2752,310,2697,310
2827,281,2937,275,2938,307,2829,313
3059,281,3168,281,3168,310,3059,310
3312,284,3366,284,3366,316,3312,316
809,323,940,323,940,352,809,352
1024,326,1209,326,1209,355,1024,355
1308,329,1366,329,1366,358,1308,358
1433,329,1504,329,1504,358,1433,358
1568,329,1644,329,1644,361,1568,361
1964,332,2022,332,2022,364,1964,364
2224,336,2281,336,2281,364,2224,364
2563,342,2624,342,2624,368,2563,368
2627,342,2643,342,2643,368,2627,368
2985,339,3244,339,3244,371,2985,371
2732,345,2780,345,2780,368,2732,368
2787,345,2803,345,2803,368,2787,368
3296,345,3382,345,3382,377,3296,377
809,384,873,384,873,406,809,406
873,384,940,384,940,406,873,406
1017,380,1209,380,1209,409,1017,409
1305,384,1363,384,1363,412,1305,412
1430,387,1500,387,1500,412,1430,412
1564,387,1644,387,1644,416,1564,416
1939,390,2048,390,2048,419,1939,419
2224,393,2281,393,2281,422,2224,422
2588,400,2643,400,2643,422,2588,422
2736,400,2780,400,2780,425,2736,425
2787,403,2803,403,2803,422,2787,422
2985,400,3244,400,3244,428,2985,428
3293,400,3393,405,3391,436,3291,431
806,438,870,438,870,464,806,464
870,438,937,438,937,460,870,460
1017,435,1206,435,1206,464,1017,464
1305,438,1360,438,1360,467,1305,467
1427,441,1497,441,1497,467,1427,467
1564,441,1641,441,1641,470,1564,470
1964,444,2019,444,2019,476,1964,476
2224,451,2281,451,2281,476,2224,476
2576,454,2608,454,2608,480,2576,480
2614,454,2643,454,2643,480,2614,480
2720,454,2764,454,2764,480,2720,480
2771,454,2803,454,2803,480,2771,480
2988,454,3244,454,3244,483,2988,483
3296,460,3385,460,3385,492,3296,492
803,492,867,492,867,518,803,518
867,492,934,492,934,518,867,518
1014,489,1203,489,1203,518,1014,518
1302,492,1356,492,1356,521,1302,521
1427,499,1497,499,1497,521,1427,521
1561,496,1641,496,1641,524,1561,524
1964,502,2019,502,2019,531,1964,531
2224,505,2281,505,2281,534,2224,534
2521,512,2560,512,2560,537,2521,537
2560,508,2608,508,2608,537,2560,537
2614,508,2643,508,2643,534,2614,534
2707,508,2764,508,2764,537,2707,537
2771,508,2803,508,2803,537,2771,537
3296,514,3386,518,3385,549,3294,545
796,550,931,550,931,572,796,572
1011,547,1196,547,1196,576,1011,576
1299,550,1353,550,1353,579,1299,579
1424,550,1494,550,1494,579,1424,579
1558,550,1638,550,1638,582,1558,582
1948,556,2032,556,2032,588,1948,588
2224,563,2281,563,2281,592,2224,592
2707,566,2771,566,2771,595,2707,595
2774,566,2803,566,2803,595,2774,595
3293,569,3396,576,3394,609,3290,602
790,601,928,601,928,630,790,630
1004,601,1193,601,1193,630,1004,630
1296,604,1350,604,1350,633,1296,633
1420,608,1491,608,1491,633,1420,633
1555,608,1638,608,1638,636,1555,636
1923,611,2054,611,2054,643,1923,643
2224,624,2281,624,2281,646,2224,646
2560,620,2608,620,2608,649,2560,649
2524,627,2560,627,2560,649,2524,649
2617,627,2646,627,2646,649,2617,649
2707,624,2774,624,2774,652,2707,652
2774,624,2806,624,2806,652,2774,652
2988,627,3248,627,3248,656,2988,656
3292,630,3395,630,3395,662,3292,662
