2445,326,3054,317,3055,420,2446,430
2691,481,2898,481,2898,549,2691,549
2188,485,2446,485,2446,549,2188,549
2911,485,3050,485,3050,545,2911,545
2551,490,2670,490,2670,545,2551,545
2222,637,2357,637,2357,709,2222,709
2551,646,2632,646,2632,709,2551,709
1525,650,1643,650,1643,714,1525,714
1833,650,2129,650,2129,714,1833,714
1221,659,1364,659,1364,726,1221,726
854,667,992,660,995,730,858,737
2796,663,3042,663,3042,752,2796,752
505,685,696,678,698,743,507,749
219,692,346,692,346,760,219,760
2243,773,2632,773,2632,840,2243,840
1918,777,2049,777,2049,845,1918,845
1525,785,1656,785,1656,853,1525,853
1160,794,1359,788,1362,856,1162,863
858,799,995,790,1000,864,862,873
540,815,676,815,676,878,540,878
158,824,409,815,412,892,161,901
2813,857,3046,857,3046,942,2813,942
2518,895,2665,895,2665,975,2518,975
2226,904,2370,904,2370,971,2226,971
1947,908,2112,908,2112,971,1947,971
1521,908,1656,908,1656,980,1521,980
1191,912,1381,912,1381,988,1191,988
507,921,709,921,709,997,507,997
797,925,1068,919,1070,993,798,999
228,954,354,954,354,1022,228,1022
1922,1035,2087,1035,2087,1102,1922,1102
2230,1035,2366,1035,2366,1102,2230,1102
1457,1035,1723,1035,1723,1111,1457,1111
2564,1043,2627,1043,2627,1098,2564,1098
858,1057,1004,1048,1008,1122,863,1131
1253,1044,1407,1062,1399,1132,1245,1113
2796,1052,3113,1052,3113,1140,2796,1140
523,1073,705,1073,705,1136,523,1136
228,1078,353,1070,358,1148,233,1156
2019,1170,2340,1170,2340,1246,2019,1246
2551,1174,3118,1174,3118,1242,2551,1242
1055,1183,1643,1173,1644,1255,1056,1265
256,1213,633,1204,635,1276,258,1285
2049,1309,2306,1309,2306,1381,2049,1381
2657,1313,3012,1313,3012,1377,2657,1377
1051,1327,1508,1321,1509,1398,1052,1404
1521,1330,1656,1330,1656,1390,1521,1390
279,1352,602,1332,607,1410,284,1430
2049,1444,2306,1444,2306,1521,2049,1521
2531,1442,2959,1458,2956,1531,2528,1515
2961,1453,3139,1453,3139,1512,2961,1512
1563,1457,1698,1457,1698,1533,1563,1533
984,1470,1119,1470,1119,1546,984,1546
162,1488,738,1473,740,1552,165,1568
2047,1583,2306,1577,2308,1655,2049,1661
2805,1588,2877,1588,2877,1643,2805,1643
1223,1602,1875,1586,1877,1668,1225,1684
295,1618,612,1618,612,1694,295,1694
1984,1724,2373,1713,2375,1790,1986,1801
1544,1735,1879,1725,1881,1802,1546,1813
1457,1740,1525,1740,1525,1812,1457,1812
329,1757,583,1757,583,1833,329,1833
2691,1850,2995,1850,2995,1913,2691,1913
2049,1854,2306,1854,2306,1930,2049,1930
1232,1880,1491,1874,1492,1950,1233,1955
338,1892,591,1892,591,1968,338,1968
1088,2003,2285,1969,2287,2051,1090,2085
2499,2076,2754,2067,2756,2136,2501,2144
2205,2074,2480,2074,2480,2150,2205,2150
2208,2169,2758,2157,2760,2237,2209,2248
2932,2163,3122,2163,3122,2226,2932,2226
1681,2180,2002,2180,2002,2256,1681,2256
1102,2201,1237,2201,1237,2268,1102,2268
350,2209,599,2209,599,2285,350,2285
2371,2269,2550,2260,2554,2329,2375,2339
2934,2364,3125,2358,3127,2424,2936,2430
2385,2378,2576,2372,2578,2437,2387,2443
1715,2391,1973,2391,1973,2458,1715,2458
1039,2395,1297,2395,1297,2471,1039,2471
304,2420,671,2420,671,2484,304,2484
2936,2480,3126,2480,3126,2547,2936,2547
2385,2496,2580,2490,2582,2555,2387,2561
1715,2501,1968,2501,1968,2573,1715,2573
1047,2513,1301,2513,1301,2589,1047,2589
307,2541,675,2535,676,2597,308,2603
2196,2725,2631,2719,2633,2796,2197,2801
2006,2733,2175,2733,2175,2801,2006,2801
784,2754,1985,2734,1986,2806,786,2826
2974,2834,3105,2834,3105,2894,2974,2894
2509,2843,2704,2843,2704,2906,2509,2906
1390,2856,1825,2856,1825,2927,1390,2927
342,2881,650,2881,650,2949,342,2949
1601,3308,1846,3308,1846,3375,1601,3375
2837,3399,3087,3390,3090,3457,2839,3466
2264,3405,2509,3405,2509,3472,2264,3472
1478,3413,1723,3413,1723,3481,1478,3481
815,3426,942,3426,942,3489,815,3489
286,3439,586,3432,588,3500,287,3507
2790,3519,3134,3506,3136,3569,2792,3582
2284,3529,2492,3524,2493,3586,2285,3591
1377,3527,1816,3527,1816,3599,1377,3599
819,3544,946,3544,946,3603,819,3603
380,3553,507,3553,507,3616,380,3616
2790,3638,3133,3622,3136,3685,2793,3701
2285,3646,2496,3646,2496,3705,2285,3705
1504,3646,1698,3646,1698,3718,1504,3718
819,3658,950,3658,950,3726,819,3726
376,3672,505,3663,510,3729,381,3738
1609,3870,1863,3870,1863,3941,1609,3941
2722,3955,3226,3932,3229,4002,2725,4024
1613,3979,2137,3970,2138,4038,1614,4048
781,3988,1035,3988,1035,4056,781,4056
308,3992,549,3992,549,4060,308,4060
2240,4298,2381,4289,2386,4363,2244,4372
1675,4307,2221,4295,2223,4371,1677,4383
1102,4313,1626,4308,1627,4384,1102,4390
845,4313,1102,4313,1102,4394,845,4394
726,4326,815,4326,815,4389,726,4389
2862,4339,3041,4333,3043,4397,2865,4404
2471,4355,2598,4355,2598,4419,2471,4419
342,4381,580,4387,578,4453,341,4448
848,4407,1888,4394,1889,4472,849,4485
